Year,Number-of-Households
800,14
801,14
802,15
803,14
804,14
805,15
806,15
807,14
808,14
809,14
810,15
811,13
812,14
813,13
814,13
815,12
816,12
817,12
818,12
819,12
820,12
821,12
822,12
823,11
824,11
825,11
826,10
827,10
828,11
829,11
830,11
831,10
832,11
833,11
834,11
835,12
836,11
837,12
838,11
839,10
840,10
841,10
842,10
843,10
844,10
845,10
846,9
847,8
848,7
849,7
850,7
851,7
852,7
853,8
854,8
855,8
856,10
857,10
858,10
859,10
860,12
861,13
862,15
863,15
864,16
865,17
866,16
867,15
868,15
869,15
870,15
871,15
872,14
873,13
874,13
875,13
876,13
877,13
878,13
879,13
880,12
881,12
882,13
883,13
884,14
885,16
886,17
887,16
888,16
889,18
890,18
891,16
892,18
893,18
894,18
895,17
896,17
897,17
898,14
899,12
900,12
901,11
902,11
903,11
904,11
905,11
906,11
907,12
908,12
909,13
910,14
911,16
912,17
913,18
914,18
915,21
916,22
917,23
918,23
919,22
920,22
921,22
922,18
923,17
924,16
925,16
926,16
927,15
928,15
929,15
930,16
931,16
932,17
933,18
934,18
935,21
936,21
937,22
938,24
939,26
940,27
941,27
942,25
943,25
944,24
945,23
946,22
947,22
948,22
949,22
950,22
951,21
952,21
953,22
954,22
955,21
956,21
957,21
958,23
959,25
960,27
961,27
962,28
963,30
964,31
965,31
966,31
967,32
968,32
969,30
970,28
971,27
972,24
973,22
974,21
975,21
976,22
977,22
978,22
979,22
980,21
981,20
982,19
983,21
984,23
985,24
986,25
987,26
988,28
989,27
990,27
991,27
992,28
993,28
994,27
995,25
996,25
997,25
998,24
999,23
1000,22
1001,22
1002,21
1003,22
1004,21
1005,20
1006,23
1007,23
1008,23
1009,23
1010,24
1011,25
1012,26
1013,29
1014,29
1015,28
1016,28
1017,28
1018,28
1019,28
1020,28
1021,26
1022,27
1023,27
1024,25
1025,25
1026,24
1027,22
1028,20
1029,20
1030,21
1031,23
1032,23
1033,23
1034,24
1035,26
1036,26
1037,29
1038,29
1039,31
1040,31
1041,31
1042,30
1043,31
1044,31
1045,28
1046,30
1047,29
1048,27
1049,27
1050,25
