"year","general","north","mid","natural","upland","kinbiko"
800,3.3,8.6,7.5,0,0,1.6
801,3.2,8.6,7.4,0,0,1.6
802,3.2,8.5,7.4,0,0,1.6
803,3.1,8.5,7.4,0,0,1.5
804,3.1,8.5,7.4,0,0,1.5
805,3,8.4,7.4,0,0,1.5
806,3,8.4,7.4,0,0,1.5
807,2.9,8.4,7.4,0,0,1.4
808,2.9,8.4,7.3,0,0,1.4
809,2.8,8.4,7.3,0,0,1.4
810,2.8,8.4,7.3,0,0,1.4
811,2.7,8.4,7.3,0,0,1.3
812,2.7,8.4,7.3,0,0,1.3
813,2.6,8.3,7.2,0,0,1.3
814,2.6,8.3,7.2,0,0,1.3
815,2.5,8.3,7.2,0,0,1.2
816,2.5,8.3,7.2,0,0,1.2
817,2.4,8.3,7.2,0,0,1.2
818,2.4,8.3,7.1,0,0,1.2
819,2.4,8.3,7.1,0,0,1.2
820,2.3,8.2,7.1,0,0,1.1
821,2.3,8.2,7,0,0,1.1
822,2.2,8.2,7,0,0,1.1
823,2.2,8.2,7,0,0,1.1
824,2.2,8.2,7,0,0,1.1
825,2.1,8.2,7,0,0,1
826,2.1,8.2,6.9,0,0,1
827,2,8.2,6.9,0,0,1
828,2,8.2,6.9,0,0,1
829,1.9,8.2,6.9,0,0,0.9
830,1.9,8.1,6.9,0,0,0.9
831,1.8,8.1,6.8,0,0,0.9
832,1.8,8.1,6.8,0,0,0.9
833,1.8,8.1,6.7,0,0,0.9
834,1.7,8.1,6.7,0,0,0.8
835,1.7,8.1,6.7,0,0,0.8
836,1.6,8.1,6.7,0,0,0.8
837,1.6,8.1,6.6,0,0,0.8
838,1.5,8.1,6.6,0,0,0.7
839,1.5,8.1,6.6,0,0,0.7
840,1.4,8,6.6,0,0,0.7
841,1.4,8,6.6,0,0,0.7
842,1.4,8,6.5,0,0,0.7
843,1.3,8,6.5,0,0,0.6
844,1.3,8,6.5,0,0,0.6
845,1.2,8,6.5,0,0,0.6
846,1.2,8,6.5,0,0,0.6
847,1.2,8,6.5,0,0,0.6
848,1.1,8,6.5,0,0,0.5
849,1.1,8,6.4,0,0,0.5
850,1,8,6.4,0,0,0.5
851,1,8,6.4,0,0,0.5
852,0.9,8,6.4,0,0,0.4
853,0.9,8,6.4,0,0,0.4
854,0.8,8,6.4,0,0,0.4
855,0.8,8,6.4,0,0,0.4
856,0.8,8,6.4,0,0,0.4
857,0.7,8,6.4,0,0,0.3
858,0.7,8,6.3,0,0,0.3
859,0.6,8,6.3,0,0,0.3
860,0.6,8,6.3,0,0,0.3
861,0.6,8,6.3,0,0,0.3
862,0.5,8,6.3,0,0,0.2
863,0.5,8,6.2,0,0,0.2
864,0.4,8,6.2,0,0,0.2
865,0.4,8,6.2,0,0,0.2
866,0.4,8,6.2,0,0,0.2
867,0.3,8,6.2,0,0,0.1
868,0.3,8,6.2,0,0,0.1
869,0.3,8,6.2,0,0,0.1
870,0.2,8,6.2,0,0,0.1
871,0.2,8,6.2,0,0,0.1
872,0.2,8,6.2,0,0,0.1
873,0.2,8,6.2,0,0,0.1
874,0.2,8,6.2,0,0,0.1
875,0.1,8,6.2,0,0,0.05
876,0.1,8,6.2,0,0,0.05
877,0.1,8,6.2,0,0,0.05
878,0,8,6.1,0,0,0
879,0,8,6.1,0,0,0
880,0,8,6.1,0,0,0
881,0,8,6.1,0,0,0
882,0,8,6.1,0,0,0
883,0,8,6.1,0,0,0
884,0,8,6.1,0,0,0
885,0,8,6.1,0,0,0
886,0,8,6.1,0,0,0
887,0,8,6.1,0,0,0
888,0,8,6,0,0,0
889,0,8,6,0,0,0
890,0,8,6,0,0,0
891,0,8,6,0,0,0
892,0,8,6,0,0,0
893,0,8,6,0,0,0
894,0,8,6,0,0,0
895,0,8,6,0,0,0
896,0,8,6,0,0,0
897,0,8,6,0,0,0
898,0,8,6,0,0,0
899,0,8,6,0,0,0
900,0,8,6,0,0,0
901,0,8,6,0,0,0
902,0,8,6,0,0,0
903,0,8,6,0,0,0
904,0,8,6,0,0,0
905,0,8,6,0,0,0
906,0,8,6,0,0,0
907,0,8,6,0,0,0
908,0,8,6,0,0,0
909,0,8,6,0,0,0
910,0,8,6,0,0,0
911,0,8.1,6,0,0,0
912,0,8.1,6,0,0,0
913,0,8.2,6,0,0,0
914,0,8.2,6,0,0,0
915,0,8.2,6,0,0,0
916,0,8.2,6,0,0,0
917,0,8.2,6,0,0,0
918,0,8.2,6,0,0,0
919,0,8.2,6,0,0,0
920,0,8.2,6,0,0,0
921,0.1,8.2,6,0,0,0.05
922,0.1,8.2,6,0,0,0.05
923,0.2,8.2,6,0,0,0.1
924,0.2,8.2,6,0,0,0.1
925,0.2,8.3,6,0,0,0.1
926,0.2,8.3,6,0,0,0.1
927,0.2,8.3,6,0,0,0.1
928,0.2,8.3,6,0,0,0.1
929,0.3,8.3,6,0,0,0.1
930,0.3,8.3,6,0,0,0.1
931,0.3,8.3,6,0,0,0.1
932,0.3,8.4,6,0,0,0.1
933,0.3,8.4,6,0,0,0.1
934,0.4,8.4,6,0,0,0.2
935,0.4,8.4,6,0,0,0.2
936,0.4,8.4,6,0,0,0.2
937,0.4,8.4,6,0,0,0.2
938,0.4,8.4,6,0,0,0.2
939,0.5,8.4,6,0,0,0.2
940,0.5,8.5,6.1,0,0,0.2
941,0.5,8.5,6.1,0,0,0.2
942,0.5,8.5,6.1,0,0,0.2
943,0.5,8.5,6.2,0,0,0.2
944,0.6,8.5,6.2,0,0,0.3
945,0.6,8.5,6.2,0,0,0.3
946,0.6,8.5,6.2,0,0,0.3
947,0.6,8.6,6.2,0,0,0.3
948,0.6,8.6,6.2,0,0,0.3
949,0.6,8.6,6.2,0,0,0.3
950,0.7,8.6,6.2,0,0,0.3
951,0.7,8.6,6.2,0,0,0.3
952,0.7,8.6,6.2,0,0,0.3
953,0.8,8.6,6.2,0,0,0.4
954,0.8,8.6,6.3,0,0,0.4
955,0.8,8.6,6.3,0,0,0.4
956,0.9,8.6,6.3,0,0,0.4
957,0.9,8.6,6.3,0,0,0.4
958,0.9,8.6,6.3,0,0,0.4
959,1,8.6,6.4,0,0,0.5
960,1,8.6,6.4,0,0,0.5
961,1,8.6,6.4,0,0,0.5
962,1,8.7,6.4,0,0,0.5
963,1.1,8.7,6.4,0,0,0.5
964,1.1,8.7,6.5,0,0,0.5
965,1.2,8.7,6.5,0,0,0.6
966,1.3,8.7,6.6,0,0,0.6
967,1.4,8.7,6.6,0,0,0.7
968,1.4,8.7,6.6,0,0,0.7
969,1.5,8.7,6.6,0,0,0.7
970,1.6,8.7,6.6,0,0,0.8
971,1.6,8.8,6.7,0,0,0.8
972,1.7,8.8,6.7,0,0,0.8
973,1.7,8.8,6.7,0,0,0.8
