"x","y","color","zone","maize.zone"
0,119,"white","Empty","Empty"
0,118,"white","Empty","Empty"
0,117,"white","Empty","Empty"
0,116,"white","Empty","Empty"
0,115,"white","Empty","Empty"
0,114,"white","Empty","Empty"
0,113,"white","Empty","Empty"
0,112,"white","Empty","Empty"
0,111,"white","Empty","Empty"
0,110,"white","Empty","Empty"
0,109,"white","Empty","Empty"
0,108,"white","Empty","Empty"
0,107,"white","Empty","Empty"
0,106,"white","Empty","Empty"
0,105,"white","Empty","Empty"
0,104,"yellow","Natural","No_Yield"
0,103,"yellow","Natural","No_Yield"
0,102,"white","Empty","Empty"
0,101,"white","Empty","Empty"
0,100,"white","Empty","Empty"
0,99,"white","Empty","Empty"
0,98,"white","Empty","Empty"
0,97,"white","Empty","Empty"
0,96,"white","Empty","Empty"
0,95,"white","Empty","Empty"
0,94,"white","Empty","Empty"
0,93,"white","Empty","Empty"
0,92,"white","Empty","Empty"
0,91,"white","Empty","Empty"
0,90,"white","Empty","Empty"
0,89,"white","Empty","Empty"
0,88,"white","Empty","Empty"
0,87,"white","Empty","Empty"
0,86,"white","Empty","Empty"
0,85,"white","Empty","Empty"
0,84,"white","Empty","Empty"
0,83,"white","Empty","Empty"
0,82,"white","Empty","Empty"
0,81,"white","Empty","Empty"
0,80,"white","Empty","Empty"
0,79,"white","Empty","Empty"
0,78,"white","Empty","Empty"
0,77,"white","Empty","Empty"
0,76,"white","Empty","Empty"
0,75,"white","Empty","Empty"
0,74,"white","Empty","Empty"
0,73,"white","Empty","Empty"
0,72,"white","Empty","Empty"
0,71,"white","Empty","Empty"
0,70,"white","Empty","Empty"
0,69,"white","Empty","Empty"
0,68,"white","Empty","Empty"
0,67,"white","Empty","Empty"
0,66,"white","Empty","Empty"
0,65,"white","Empty","Empty"
0,64,"white","Empty","Empty"
0,63,"white","Empty","Empty"
0,62,"white","Empty","Empty"
0,61,"white","Empty","Empty"
0,60,"white","Empty","Empty"
0,59,"white","Empty","Empty"
0,58,"white","Empty","Empty"
0,57,"white","Empty","Empty"
0,56,"white","Empty","Empty"
0,55,"white","Empty","Empty"
0,54,"white","Empty","Empty"
0,53,"white","Empty","Empty"
0,52,"white","Empty","Empty"
0,51,"white","Empty","Empty"
0,50,"white","Empty","Empty"
0,49,"white","Empty","Empty"
