"year","general","north","mid","natural","upland","kinbiko"
800,3.869,0,0,3.869,3.869,0
801,-0.905,0,0,-0.905,-0.905,0
802,-0.3,0,0,-0.3,-0.3,0
803,4.214,0,0,4.214,4.214,0
804,3.02,0,0,3.02,3.02,0
805,1.8379999,0,0,1.8379999,1.8379999,0
806,-1.8379999,0,0,-1.8379999,-1.8379999,0
807,-0.267,0,0,-0.267,-0.267,0
808,-4.7799997,0,0,-4.7799997,-4.7799997,0
809,-4.064,0,0,-4.064,-4.064,0
810,2.754,0,0,2.754,2.754,0
811,-0.094000004,0,0,-0.094000004,-0.094000004,0
812,-0.84400004,0,0,-0.84400004,-0.84400004,0
813,0.511,0,0,0.511,0.511,0
814,1.31,0,0,1.31,1.31,0
815,-1.138,0,0,-1.138,-1.138,0
816,-1.8489999,0,0,-1.8489999,-1.8489999,0
817,-3.492,0,0,-3.492,-3.492,0
818,-1.621,0,0,-1.621,-1.621,0
819,-2.6369998,0,0,-2.6369998,-2.6369998,0
820,2.609,0,0,2.609,2.609,0
821,6.9340005,0,0,6.9340005,6.9340005,0
822,4.613,0,0,4.613,4.613,0
823,-4.752,0,0,-4.752,-4.752,0
824,-0.91599995,0,0,-0.91599995,-0.91599995,0
825,-2.9650002,0,0,-2.9650002,-2.9650002,0
826,1.8039999,0,0,1.8039999,1.8039999,0
827,-2.9090002,0,0,-2.9090002,-2.9090002,0
828,-0.29400003,0,0,-0.29400003,-0.29400003,0
829,-1.877,0,0,-1.877,-1.877,0
830,-3.559,0,0,-3.559,-3.559,0
831,2.876,0,0,2.876,2.876,0
832,1.9599999,0,0,1.9599999,1.9599999,0
833,0.661,0,0,0.661,0.661,0
834,-1.138,0,0,-1.138,-1.138,0
835,-3.77,0,0,-3.77,-3.77,0
836,3.747,0,0,3.747,3.747,0
837,-1.921,0,0,-1.921,-1.921,0
838,1.999,0,0,1.999,1.999,0
839,-0.33900002,0,0,-0.33900002,-0.33900002,0
840,-4.2799997,0,0,-4.2799997,-4.2799997,0
841,-0.516,0,0,-0.516,-0.516,0
842,-1.299,0,0,-1.299,-1.299,0
843,0.805,0,0,0.805,0.805,0
844,-1.538,0,0,-1.538,-1.538,0
845,0.278,0,0,0.278,0.278,0
846,-0.65000004,0,0,-0.65000004,-0.65000004,0
847,-2.498,0,0,-2.498,-2.498,0
848,0.33900002,0,0,0.33900002,0.33900002,0
849,-0.733,0,0,-0.733,-0.733,0
850,0.561,0,0,0.561,0.561,0
851,-2.232,0,0,-2.232,-2.232,0
852,2.903,0,0,2.903,2.903,0
853,-1.155,0,0,-1.155,-1.155,0
854,1.527,0,0,1.527,1.527,0
855,-0.32200003,0,0,-0.32200003,-0.32200003,0
856,4.136,0,0,4.136,4.136,0
857,-2.1369998,0,0,-2.1369998,-2.1369998,0
858,3.053,0,0,3.053,3.053,0
859,-1.56,0,0,-1.56,-1.56,0
860,0.228,0,0,0.228,0.228,0
861,1.9599999,0,0,1.9599999,1.9599999,0
862,2.759,0,0,2.759,2.759,0
863,-1.677,0,0,-1.677,-1.677,0
864,-0.533,0,0,-0.533,-0.533,0
865,-0.52199996,0,0,-0.52199996,-0.52199996,0
